RECORD,hbpermin,Pseg,PQseg,QRSseg,QRseg,QTseg,RSseg,STseg,Tseg,PTseg,ECGseg,QRtoQSdur,RStoQSdur,RRmean,PPmean,PQdis,PonQdis,PRdis,PonRdis,PSdis,PonSdis,PTdis,PonTdis,PToffdis,QRdis,QSdis,QTdis,QToffdis,RSdis,RTdis,RToffdis,STdis,SToffdis,PonToffdis,PonPQang,PQRang,QRSang,RSTang,STToffang,RRTot,NNTot,SDRR,IBIM,IBISD,SDSD,RMSSD,QRSarea,QRSperi,PQslope,QRslope,RSslope,STslope,NN50,pNN50,ECG_signal
27,109.6119403,0.067102397,0.09291939,0.090795207,0.04667756,0.15332244,0.044117647,0.062527233,0.062690632,0.24624183,0.311220044,0.001427985,0.001349793,195.74,195.72,33.44949004,45.04324776,50.24415315,61.84655354,66.12496335,77.72198264,88.68029722,100.2800048,100.2803799,16.86173848,32.68001109,55.24294723,66.84210771,15.94654645,38.45010931,50.04891378,22.56790486,34.16471777,111.8800018,2.62443591,-6.267549828,10.13332098,-6.782481518,1.975408323,51,50,7.883679344,195.74,7.96371875,11.89860677,195.8986983,23.64815021,65.48829602,-0.023845527,0.085759471,-0.091567283,0.027072479,1,2,ARR
28,111.761194,0.079273504,0.12366453,0.08883547,0.045245726,0.192094017,0.043589744,0.103258547,0.136752137,0.315758547,0.425,0.001414505,0.001363273,192.5294118,192.5294118,44.54992975,59.76512017,60.84406409,76.05991499,76.53037049,91.74563715,113.6862848,128.9019769,137.6666986,16.30496562,31.9806032,69.13768617,93.1178294,15.70204858,52.84438727,76.82472349,37.15859803,61.13800885,152.8823584,NaN,-2.360718785,4.502611017,-3.02011538,0.711402519,52,51,24.63486525,192.5294118,24.87999433,38.79381394,194.0990752,10.26108398,63.98761739,-0.006032089,0.035187645,-0.04344727,0.009296388,2,3.921568627,ARR
29,70.92537313,0.087037037,0.103282828,0.113468013,0.05513468,0.198989899,0.058333333,0.085521886,0.088299663,0.302272727,0.401683502,0.001349466,0.001428311,302.46875,302.5,37.22398309,53.84603076,57.0677841,73.69309666,78.06713405,94.69025244,108.7815803,125.4068829,127.8438451,19.89294673,40.84450115,71.56799337,90.6262066,21.06287478,51.72129634,70.78738434,30.73925812,49.78617131,144.4687548,NaN,-4.985892862,8.439854018,-6.49449913,3.341690774,33,32,11.03682579,302.46875,11.21342621,11.44411386,302.6700452,30.74873123,81.80032267,-0.016734484,0.070404319,-0.077171667,0.036351773,1,3.125,ARR
30,70.92537313,0.070791246,0.10547138,0.092845118,0.046717172,0.196632997,0.046127946,0.103787879,0.117087542,0.302104377,0.416582492,0.001397817,0.001379961,299.4375,299.46875,38.00530763,51.94039059,54.81861979,68.75605324,71.40918834,85.34558593,108.7812537,122.7187914,136.4687969,16.87504717,33.40627887,70.78411245,98.470129,16.65843551,53.97490073,81.66155078,37.38068725,65.06472173,150.4062543,NaN,-5.891358639,9.983572638,-6.047958987,1.245088625,33,32,62.52196489,299.4375,63.52237985,81.30789621,305.8951005,24.35229125,66.93976155,-0.016718477,0.086321158,-0.088369778,0.017419084,14,43.75,ARR
31,75.2238806,0.076984127,0.102142857,0.094603175,0.047936508,0.195396825,0.046666667,0.100793651,0.095952381,0.297539683,0.37952381,0.001405914,0.001371863,281.3235294,281.4117647,36.82808977,50.09078741,54.09313343,67.35787359,70.88488595,84.14869258,107.1764725,120.4412184,123.382406,17.31468876,34.05888764,70.35538051,86.56010382,16.84638746,53.09314189,69.2992445,36.29918818,52.50235835,136.6470667,NaN,-5.234501318,8.79436125,-5.403818304,1.377635461,35,34,74.5341298,281.3235294,75.65500668,117.1458871,291.0296629,22.05821352,68.21996386,-0.015689845,0.075827059,-0.07798883,0.016496243,12,35.29411765,ARR
32,73.07462687,0.065114379,0.073039216,0.095669935,0.050163399,0.196977124,0.045506536,0.10130719,0.127614379,0.27001634,0.386111111,0.001456332,0.001321446,288.6060606,288.5454545,26.25659851,37.88256943,44.3048744,55.94394076,60.67075235,72.30404951,97.21259073,108.8484903,127.7580512,18.10346148,34.42460165,70.97191435,101.5164384,16.40020556,52.91354798,83.45778661,36.54786517,67.09191922,139.3939413,3.388318248,-5.655662853,7.533041822,-4.343091077,0.741151961,34,33,21.28584591,288.6060606,21.6158787,32.7894413,289.389954,19.38068302,68.92826869,-0.031898563,0.066947006,-0.06475892,0.011151349,7,21.21212121,ARR
33,77.37313433,0.079552469,0.101388889,0.097067901,0.049614198,0.199614198,0.047453704,0.102546296,0.111419753,0.301003086,0.399768519,0.001419818,0.00135796,275.6,275.7142857,36.54902517,52.11669037,54.40553003,69.97782413,71.46131048,87.0306482,108.4000076,123.9714977,128.3429815,17.91563052,34.91443386,71.85991497,91.8013212,17.12718083,54.00615483,73.94901442,36.95011147,56.8888097,143.914286,1.68159537,-5.683209143,9.81299097,-6.317383413,1.535584603,36,35,43.71217549,275.6,44.35034319,62.73233632,279.0450041,26.14763342,69.9572452,-0.018376338,0.080993176,-0.090700558,0.019809194,1,2.857142857,ARR
34,19.34328358,0.092592593,0.083950617,0.109259259,0.057098765,0.203703704,0.052160494,0.094444444,0.09691358,0.287654321,0.387962963,0.001448613,0.001329164,1122.875,1120.5,30.00597016,48.37730607,50.25405844,68.62945845,69.00332952,87.3767208,102.8750026,121.2500917,120.5000877,20.28888186,39.0001207,72.87770619,90.50121238,18.79799288,52.62901832,70.25460233,33.88262013,51.50293585,138.8750003,1.507937672,-4.401039797,7.081515114,-4.886443235,1.567810245,9,8,961.8107191,1122.875,1028.218909,849.4744354,1478.48846,24.94815129,78.08699544,-0.019011491,0.057885441,-0.065922626,0.019496146,4,50,ARR
35,62.32835821,0.064750958,0.108237548,0.090421456,0.044923372,0.14664751,0.045498084,0.056226054,0.104885057,0.254885057,0.372318008,0.00138009,0.001397687,345.4642857,345.4642857,38.96827462,51.78722208,55.14810686,67.97055648,71.54203379,84.36083276,91.78573117,104.607356,121.2501221,16.23211074,32.57394539,52.82487619,82.28661304,16.48192925,36.64985448,66.1137523,20.27540624,49.72048799,134.071429,1.545781858,-5.467500273,10.60037993,-8.834474583,3.310033745,29,28,57.74047982,345.4642857,58.80002655,87.19454621,350.2563857,24.60828869,65.28798538,-0.014270402,0.081336573,-0.104233488,0.050380416,11,39.28571429,ARR
36,53.73134328,0.053777778,0.134333333,0.094555556,0.047,0.175111111,0.047555556,0.080555556,0.085555556,0.309444444,0.386111111,0.001380471,0.001397306,391.6666667,391.1666667,48.50159813,58.16750998,65.37830365,75.04526546,82.50290549,92.16869331,111.6250878,121.2918679,129.2500507,16.90758193,34.00134333,63.12720227,80.75049111,17.17778091,46.25289501,63.87956192,29.13666387,46.75358105,138.9166733,NaN,-3.947480737,7.900262814,-6.017179677,2.439876531,25,24,209.2089599,391.6666667,213.7085921,293.1142928,444.0396003,19.77072807,68.08670617,-0.008023258,0.060961225,-0.077185144,0.028015376,10,41.66666667,ARR
37,90.72,0.078240741,0.088690476,0.093584656,0.047089947,0.196494709,0.046494709,0.102910053,0.101719577,0.285185185,0.37526455,0.001397849,0.001379929,235.8536585,235.8292683,31.91126789,44.90615015,48.85943837,61.86056872,65.61339995,78.61146467,102.6585664,115.6585761,122.0733055,17.01761336,33.70736932,70.75929396,90.17252841,16.81812057,53.81126673,73.22545133,37.0538653,56.46572203,135.073171,2.112605083,-6.408607495,9.981861938,-5.869597816,1.254483904,42,41,5.106480701,235.8536585,5.169917676,6.334627061,235.9089324,24.80227758,67.54310325,-0.023525893,0.088560972,-0.08609927,0.016558738,0,0,ARR
38,45.13432836,0.059656085,0.071164021,0.036375661,0.018386243,0.145634921,0.017989418,0.109259259,0.098677249,0.216798942,0.299338624,NaN,NaN,494.25,493.05,25.28410433,35.85830725,31.37934478,41.95837289,37.13167013,47.70794875,77.25154613,87.85029199,96.65133213,6.11215557,11.85011032,52.00752574,71.40390401,5.765318957,45.90592753,65.30482922,40.16128179,59.55471709,107.2500414,5.392199426,NaN,NaN,NaN,2.382982792,21,20,208.4593186,494.25,213.8747481,311.076631,536.4124812,6.823412437,23.72758485,-0.052745177,NaN,NaN,0.024855731,6,30,ARR
39,143.4291378,0.081177446,0.096517413,0.118739635,0.061276949,0.209411277,0.057462687,0.090671642,0.070936982,0.30592869,0.392993367,NaN,NaN,149.1818182,148.8333333,34.82483337,50.41320805,56.83602804,72.44395175,77.52137767,93.12233796,110.153464,125.7587713,125.9258344,22.07312793,42.71316747,75.35596233,91.1230321,20.71844477,53.32003766,69.096247,32.6512949,48.41087757,141.5303121,4.036657069,NaN,NaN,NaN,NaN,67,66,94.51533611,149.1818182,95.23960215,188.4306499,176.6022753,27.9412971,85.50474016,-0.032289951,NaN,NaN,0.027517266,32,48.48484848,ARR
40,68.50346878,0.043836806,0.106770833,0.088107639,0.044618056,0.187413194,0.043489583,0.099305556,0.095399306,0.294184028,0.357638889,0.001406915,0.001370863,312.8387097,312.8387097,38.32702076,50.39011333,54.39325608,66.45742034,70.06745349,82.13122614,105.8064551,117.870991,116.387128,16.12526947,31.7419982,67.48651375,78.06609773,15.74498499,51.42558886,62.0065377,35.74795954,46.32590726,128.4516224,NaN,-5.840957203,10.26893969,-6.348001864,1.581157393,32,31,11.27399741,312.8387097,11.4603571,11.09153832,313.0417884,22.62653586,63.61225267,-0.015234028,0.086931271,-0.092783931,0.018279919,2,6.451612903,ARR
41,79.20713578,0.061111111,0.05015015,0.005105105,0.002477477,0.10518018,0.002627628,0.100075075,0.093843844,0.15533033,0.217342342,NaN,NaN,261.2222222,261.2222222,18.07386474,31.3110026,18.98923868,32.22637655,19.96117121,33.19830908,55.97300163,69.22222474,64.19518415,0.922331175,1.889082466,37.92030653,46.14193866,0.975112448,37.00360108,45.22542314,36.03122487,44.2528926,77.44445888,NaN,NaN,NaN,NaN,NaN,37,36,33.55353195,261.2222222,34.02949234,56.39044643,263.3683521,1.509671953,3.786526089,-0.044701172,NaN,NaN,0.013775379,2,5.555555556,ARR
42,86.4,0.052569444,0.080902778,0.039791667,0.020902778,0.147291667,0.018888889,0.1075,0.075416667,0.228194444,0.280694444,NaN,NaN,239.974359,238.8717949,28.76663917,37.41623694,36.04043717,44.69858299,42.58311762,51.23623716,81.5392909,90.20552446,91.87328577,7.305715955,13.82090469,52.80113964,63.13077731,6.567429876,45.51767842,55.85077892,38.98497071,49.31161966,100.5384917,5.80988724,NaN,NaN,NaN,3.053732632,40,39,126.7734679,239.974359,128.4307078,95.86550265,271.4022939,9.366893339,27.69405052,-0.043561385,NaN,NaN,0.023577261,11,28.20512821,ARR
